Timestamp,Open,High,Low,Close,Volume,Symbol
"Dec 12, 2020",18051.32,18919.55,18046.04,18803.66,21752580802.00,BTC/USD
"Dec 13, 2020",18806.77,19381.54,18734.33,19142.38,25450468637.00,BTC/USD
"Dec 14, 2020",19144.49,19305.10,19012.71,19246.64,22473997681.00,BTC/USD
"Dec 15, 2020",19246.92,19525.01,19079.84,19417.08,26741982541.00,BTC/USD
"Dec 16, 2020",19418.82,21458.91,19298.32,21310.60,44409011479.00,BTC/USD
"Dec 17, 2020",21308.35,23642.66,21234.68,22805.16,71378606374.00,BTC/USD
"Dec 18, 2020",22806.80,23238.60,22399.81,23137.96,40387896275.00,BTC/USD
"Dec 19, 2020",23132.87,24085.86,22826.47,23869.83,38487546580.00,BTC/USD
"Dec 20, 2020",23861.77,24209.66,23147.71,23477.30,37844228422.00,BTC/USD
"Dec 21, 2020",23474.46,24059.98,22159.37,22803.08,45852713981.00,BTC/USD
"Dec 22, 2020",22794.04,23789.90,22430.60,23783.03,44171632681.00,BTC/USD
"Dec 23, 2020",23781.97,24024.49,22802.65,23241.34,51146161904.00,BTC/USD
"Dec 24, 2020",23240.20,23768.34,22777.60,23735.95,41080759713.00,BTC/USD
"Dec 25, 2020",23733.57,24710.10,23463.67,24664.79,42068395846.00,BTC/USD
"Dec 26, 2020",24677.02,26718.07,24522.69,26437.04,48332647295.00,BTC/USD
"Dec 27, 2020",26439.37,28288.84,25922.77,26272.29,66479895605.00,BTC/USD
"Dec 28, 2020",26280.82,27389.11,26207.64,27084.81,49056742893.00,BTC/USD
"Dec 29, 2020",27081.81,27370.72,25987.30,27362.44,45265946774.00,BTC/USD
"Dec 30, 2020",27360.09,28937.74,27360.09,28840.95,51287442704.00,BTC/USD
"Dec 31, 2020",28841.57,29244.88,28201.99,29001.72,46754964848.00,BTC/USD
"Jan 01, 2021",28994.01,29600.63,28803.59,29374.15,40730301359.00,BTC/USD
"Jan 02, 2021",29376.46,33155.12,29091.18,32127.27,67865420765.00,BTC/USD
"Jan 03, 2021",32129.41,34608.56,32052.32,32782.02,78665235202.00,BTC/USD
